Rank, Movie Name, IMDb Rating, Movie Link
"194", "Before Sunrise", "8.1", "https://www.imdb.com/title/tt0112471/"
"195", "Salinui chueok", "8.1", "https://www.imdb.com/title/tt0353969/"
"196", "Blade Runner", "8.1", "https://www.imdb.com/title/tt0083658/"
"197", "How to Train Your Dragon", "8.1", "https://www.imdb.com/title/tt0892769/"
"198", "Spider-Man: No Way Home", "8.1", "https://www.imdb.com/title/tt10872600/"
"199", "Gone Girl", "8.1", "https://www.imdb.com/title/tt2267998/"
"200", "Monsters, Inc.", "8.1", "https://www.imdb.com/title/tt0198781/"
"201", "Jaws", "8.1", "https://www.imdb.com/title/tt0073195/"
"202", "In the Name of the Father", "8.1", "https://www.imdb.com/title/tt0107207/"
"203", "Ford v Ferrari", "8.1", "https://www.imdb.com/title/tt1950186/"
"204", "Relatos salvajes", "8.1", "https://www.imdb.com/title/tt3011894/"
"205", "The Gold Rush", "8.1", "https://www.imdb.com/title/tt0015864/"
"206", "Mary and Max.", "8.1", "https://www.imdb.com/title/tt0978762/"
"207", "Sherlock Jr.", "8.1", "https://www.imdb.com/title/tt0015324/"
"208", "The Deer Hunter", "8.1", "https://www.imdb.com/title/tt0077416/"
"209", "Le salaire de la peur", "8.1", "https://www.imdb.com/title/tt0046268/"
"210", "The General", "8.1", "https://www.imdb.com/title/tt0017925/"
"211", "Logan", "8.1", "https://www.imdb.com/title/tt3315342/"
"212", "Rocky", "8.1", "https://www.imdb.com/title/tt0075148/"
"213", "Mr. Smith Goes to Washington", "8.1", "https://www.imdb.com/title/tt0031679/"
"214", "On the Waterfront", "8.1", "https://www.imdb.com/title/tt0047296/"
"215", "Tôkyô monogatari", "8.1", "https://www.imdb.com/title/tt0046438/"
"216", "Pirates of the Caribbean: The Curse of the Black Pearl", "8.1", "https://www.imdb.com/title/tt0325980/"
"217", "Smultronstället", "8.1", "https://www.imdb.com/title/tt0050986/"
"218", "Spotlight", "8.1", "https://www.imdb.com/title/tt1895587/"
"219", "La haine", "8.1", "https://www.imdb.com/title/tt0113247/"
"220", "Koe no katachi", "8.2", "https://www.imdb.com/title/tt5323662/"
"221", "The Terminator", "8.1", "https://www.imdb.com/title/tt0088247/"
"222", "Maharaja", "8.3", "https://www.imdb.com/title/tt26548265/"
"223", "The Third Man", "8.1", "https://www.imdb.com/title/tt0041959/"
"224", "The Sound of Music", "8.1", "https://www.imdb.com/title/tt0059742/"
"225", "Jai Bhim", "8.6", "https://www.imdb.com/title/tt15097216/"
"226", "The Big Lebowski", "8.1", "https://www.imdb.com/title/tt0118715/"
"227", "The Best Years of Our Lives", "8.1", "https://www.imdb.com/title/tt0036868/"
"228", "Det sjunde inseglet", "8.1", "https://www.imdb.com/title/tt0050976/"
"229", "Room", "8.1", "https://www.imdb.com/title/tt3170832/"
"230", "Before Sunset", "8.1", "https://www.imdb.com/title/tt0381681/"
"231", "Hotel Rwanda", "8.1", "https://www.imdb.com/title/tt0395169/"
"232", "Platoon", "8.1", "https://www.imdb.com/title/tt0091763/"
"233", "The Incredibles", "8", "https://www.imdb.com/title/tt0317705/"
"234", "Gekijô-ban Chensô Man Reze-hen", "8.3", "https://www.imdb.com/title/tt30472557/"
"235", "Hachi: A Dog&apos;s Tale", "8.1", "https://www.imdb.com/title/tt1028532/"
"236", "The Exorcist", "8.1", "https://www.imdb.com/title/tt0070047/"
"237", "Rush", "8.1", "https://www.imdb.com/title/tt1979320/"
"238", "The Wizard of Oz", "8.1", "https://www.imdb.com/title/tt0032138/"
"239", "Stand by Me", "8.1", "https://www.imdb.com/title/tt0092005/"
"240", "The Iron Giant", "8.1", "https://www.imdb.com/title/tt0129167/"
"241", "La passion de Jeanne d&apos;Arc", "8.1", "https://www.imdb.com/title/tt0019254/"
"242", "Babam ve Oglum", "8.2", "https://www.imdb.com/title/tt0476735/"
"243", "La battaglia di Algeri", "8.1", "https://www.imdb.com/title/tt0058946/"
"244", "Ah-ga-ssi", "8.1", "https://www.imdb.com/title/tt4016934/"
"245", "Network", "8.1", "https://www.imdb.com/title/tt0074958/"
"246", "To Be or Not to Be", "8.1", "https://www.imdb.com/title/tt0035446/"
"247", "Gangs of Wasseypur", "8.2", "https://www.imdb.com/title/tt1954470/"
"248", "Drishyam", "8.2", "https://www.imdb.com/title/tt4430212/"
"249", "The Grapes of Wrath", "8.1", "https://www.imdb.com/title/tt0032551/"
"250", "Drishyam", "8.4", "https://www.imdb.com/title/tt3417422/"
